,patent_year,patent_firstnamed_assignee_latitude,patent_firstnamed_assignee_longitude,patent_firstnamed_inventor_latitude,patent_firstnamed_inventor_longitude,patent_num_cited_by_us_patents,patent_num_combined_citations,patent_num_foreign_citations,patent_num_us_application_citations,patent_num_us_patent_citations,patent_num_claims,detail_desc_length,patent_processing_time,patent_average_processing_time
138,2019,30.0799,-95.4173,40.6834,-74.4426,2,109,4,60,45,13,75709.0,2819,1214.0
139,2019,49.2609,-123.114,29.7589,-95.3677,2,53,1,25,27,20,83725.0,328,1240.0
140,2019,37.3541,-121.955,37.5483,-121.989,8,14,2,10,2,20,41084.0,313,1240.0
141,2019,44.9773,-93.2655,44.8322,-93.3205,11,5,0,3,2,25,63353.0,452,907.0
142,2019,53.3498,-6.26027,12.9768,77.5901,0,15,1,10,4,20,73733.0,762,947.0
143,2019,40.7127,-74.006,37.4283,-121.907,0,36,1,25,10,20,51565.0,1099,996.0
144,2019,34.0696,-118.396,34.0537,-118.243,6,7,0,5,2,20,189250.0,270,1240.0
145,2019,37.3894,-122.083,37.8708,-122.273,7,34,1,27,6,21,65282.0,798,993.0
146,2019,41.1265,-73.714,36.766,-78.9283,0,43,3,24,16,20,48089.0,1866,1077.0
147,2019,53.3498,-6.26027,43.5515,7.01344,6,9,1,6,2,20,64786.0,687,900.0
148,2019,47.6694,-122.124,47.6038,-122.33,0,9,0,5,4,27,29289.0,1537,1227.0
149,2019,49.5978,11.0038,40.2973,-74.7296,1,15,0,7,8,28,60939.0,720,907.0
150,2019,40.6834,-74.4426,39.7392,-104.985,3,17,0,9,8,20,66279.0,564,866.0
151,2019,37.4443,-122.16,32.1656,34.8469,1,6,0,6,0,20,46725.0,914,996.0
152,2019,47.6144,-122.192,47.6144,-122.192,1,947,36,376,535,24,43803.0,371,894.0
153,2019,42.0834,-71.3967,40.797,-74.481,80,19,2,9,8,10,35455.0,799,996.0
154,2019,39.7392,-104.985,39.7392,-104.985,2,11,0,9,2,20,51768.0,298,1240.0
155,2019,37.452,-122.178,25.9363,-81.7157,4,1,1,0,0,20,73778.0,497,1145.0
